address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,listing_date,latitude,longitude,url,walkscore,transit_score,bike_score,walkscore_error,median_income,population,white_pop,black_pop,asian_pop,hispanic_pop,competition_density,population_density_proxy,diversity_index,affordability_index,price_per_sqft,affordability_ratio,rent_premium
10825 Rose Ave APT 111,Los Angeles,CA,90034,2650.0,1.0,1.0,717.0,1970-01-01,34.025467,-118.416565,https://www.zillow.com/homedetails/2084794797_zpid/,81.0,56.0,63.0,,88490.0,53321.0,25577.0,5050.0,10840.0,13887.0,5,10664.2,0.6517780995083579,33.39245283018868,3.695955369595537,0.35936263984631034,27.5
1412 N Formosa Ave #1/2,Los Angeles,CA,90046,3250.0,2.0,1.0,1400.0,1970-01-01,34.096638,-118.34596,https://www.zillow.com/homedetails/350283491_zpid/,96.0,63.0,59.0,,77162.0,48749.0,35153.0,2825.0,3224.0,7386.0,2,24374.5,0.4493244354748231,23.742153846153847,2.3214285714285716,0.5054301340037842,627.5
4459 W Rose Hill Dr,Los Angeles,CA,90032,3995.0,2.0,2.0,,1970-01-01,34.081936,-118.19462,https://www.zillow.com/homedetails/2071264797_zpid/,56.0,48.0,42.0,,65761.0,45298.0,13257.0,971.0,5449.0,34788.0,1,45298.0,0.3096245640944186,16.460826032540677,,0.7290035127203054,1372.5
2485 Venice Blvd #6,Los Angeles,CA,90019,1950.0,1.0,1.0,680.0,1970-01-01,34.04374,-118.31484,https://www.zillow.com/homedetails/456238056_zpid/,81.0,62.0,70.0,,61616.0,61061.0,19471.0,10822.0,10762.0,26817.0,4,15265.25,0.6429590886888494,31.59794871794872,2.8676470588235294,0.37977148792521426,-672.5
1829 Silent Era Dr,Los Angeles,CA,90026,4350.0,2.0,3.0,1219.0,1970-01-01,34.08875,-118.26002,https://www.zillow.com/homedetails/250336736_zpid/,80.0,49.0,34.0,,70436.0,65921.0,26122.0,2279.0,9800.0,32695.0,3,21973.666666666668,0.5736917741990324,16.192183908045976,3.568498769483183,0.7410983020046568,1727.5
2235 W 26th Pl #6,Los Angeles,CA,90018,2050.0,1.0,1.0,642.0,1970-01-01,34.032013,-118.31598,https://www.zillow.com/homedetails/343528583_zpid/,76.0,52.0,54.0,,55275.0,51388.0,14335.0,14408.0,2765.0,29230.0,2,25694.0,0.5171325797072005,26.963414634146343,3.1931464174454827,0.4450474898236092,-572.5
3824 Wisconsin St APT 9,Los Angeles,CA,90037,2395.0,2.0,1.0,716.0,1970-01-01,34.01606,-118.29265,https://www.zillow.com/homedetails/2092595729_zpid/,71.0,71.0,77.0,,45128.0,68885.0,22419.0,11413.0,747.0,54911.0,2,34442.5,0.231078202070497,18.84258872651357,3.344972067039106,0.6368551675234887,-227.5
3501 Wellington Rd #3501,Los Angeles,CA,90016,3400.0,4.0,2.0,,1970-01-01,34.024567,-118.33871,https://www.zillow.com/homedetails/456238029_zpid/,81.0,60.0,68.0,,53659.0,45884.0,16100.0,12997.0,2070.0,25152.0,1,45884.0,0.4941248081327859,15.782058823529413,,0.7603570696434895,777.5
11019 Fruitland Dr APT 2,Studio City,CA,91604,2695.0,1.0,1.0,735.0,1970-01-01,34.139877,-118.37085,https://www.zillow.com/homedetails/2102409554_zpid/,80.0,53.0,50.0,,124271.0,32680.0,24933.0,1329.0,2650.0,3709.0,4,8170.0,0.396806622468685,46.11168831168831,3.6666666666666665,0.26023770630316,72.5
5137 Chimineas Ave,Tarzana,CA,91356,5450.0,4.0,3.0,1783.0,1970-01-01,34.164032,-118.52833,https://www.zillow.com/homedetails/19949392_zpid/,80.0,43.0,52.0,,90886.0,29968.0,21956.0,1881.0,1700.0,4528.0,1,29968.0,0.4332394657077176,16.676330275229358,3.0566461020751543,0.7195827740246022,2827.5
13733 Burbank Blvd APT 108,Van Nuys,CA,91401,2095.0,2.0,2.0,,1970-01-01,34.172417,-118.43257,https://www.zillow.com/homedetails/2096023331_zpid/,81.0,47.0,81.0,,65458.0,38974.0,22272.0,2175.0,1957.0,16550.0,3,12991.333333333334,0.4874792876129392,31.24486873508353,,0.3840630633383238,-527.5
4101 Arch Dr APT 105,Studio City,CA,91604,2500.0,2.0,2.0,1050.0,1970-01-01,34.14206,-118.37159,https://www.zillow.com/homedetails/340939795_zpid/,81.0,52.0,60.0,,124271.0,32680.0,24933.0,1329.0,2650.0,3709.0,4,8170.0,0.396806622468685,49.7084,2.380952380952381,0.24140789081925793,-122.5
