address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,listing_date,latitude,longitude,url,walkscore,transit_score,bike_score,walkscore_error,median_income,population,white_pop,black_pop,asian_pop,hispanic_pop,competition_density,population_density_proxy,diversity_index,affordability_index,price_per_sqft,affordability_ratio,rent_premium
225 19th St #1,Brooklyn,NY,11232,2500.0,1.0,1.0,800.0,1970-01-01,40.662983,-73.99265,https://www.zillow.com/homedetails/2098234725_zpid/,98.0,100.0,85.0,,77031.0,28501.0,11831.0,2299.0,4604.0,14318.0,3,9500.333333333334,0.5427099587437878,30.8124,3.125,0.3894535966039646,-122.5
747 E 133rd St #4A,Bronx,NY,10454,2350.0,1.0,1.0,,1970-01-01,40.80151,-73.914314,https://www.zillow.com/homedetails/2079831810_zpid/,76.0,82.0,78.0,,21846.0,38908.0,6089.0,12532.0,66.0,27134.0,1,38908.0,0.3854106850492274,9.296170212765958,,1.2908541609447954,-272.5
18230 Wexford Ter #4AA,Jamaica,NY,11432,2100.0,1.0,1.0,815.0,1970-01-01,40.71456,-73.780075,https://www.zillow.com/homedetails/2098375888_zpid/,90.0,100.0,43.0,,66246.0,64858.0,10416.0,10635.0,28371.0,13958.0,1,64858.0,0.709659284930175,31.545714285714286,2.576687116564417,0.38040032605742236,-522.5
2606 E 15th St #202,Brooklyn,NY,11235,2335.0,3.0,1.0,725.0,1970-01-01,40.587646,-73.954414,https://www.zillow.com/homedetails/456244952_zpid/,98.0,83.0,61.0,,58669.0,84859.0,62076.0,1914.0,10849.0,7652.0,1,84859.0,0.4398945787555225,25.12591006423983,3.220689655172414,0.4775946411222281,-287.5
349 E 12th St APT 5,New York,NY,10003,4695.0,3.0,1.0,,1970-01-01,40.730385,-73.98381,https://www.zillow.com/homedetails/2091890144_zpid/,100.0,100.0,98.0,,137533.0,54447.0,38481.0,2823.0,9110.0,4378.0,4,13611.75,0.4633399708744259,29.293503727369544,,0.4096471392320389,2072.5
206 W 109th St APT 2C,New York,NY,10025,4500.0,3.0,1.0,,1970-01-01,40.802464,-73.9651,https://www.zillow.com/homedetails/2104960552_zpid/,98.0,100.0,84.0,,103440.0,96918.0,59414.0,11148.0,9793.0,21794.0,2,48459.0,0.5501822445233782,22.986666666666668,,0.5220417633410673,1877.5
199 1st Ave APT 1,New York,NY,10003,5995.0,3.0,1.0,,1970-01-01,40.730278,-73.98369,https://www.zillow.com/homedetails/2100438882_zpid/,100.0,100.0,98.0,,137533.0,54447.0,38481.0,2823.0,9110.0,4378.0,4,13611.75,0.4633399708744259,22.941284403669727,,0.523074462129089,3372.5
20-47 42nd St #1A,Astoria,NY,11105,2300.0,1.0,1.0,,1970-01-01,40.77436,-73.90128,https://www.zillow.com/homedetails/456244727_zpid/,86.0,76.0,58.0,,93200.0,38311.0,27476.0,1233.0,3444.0,8262.0,2,19155.5,0.4300238503710513,40.52173913043478,,0.296137339055794,-322.5
61 Rivington St #4D,New York,NY,10002,18510.0,2.0,2.0,1200.0,1970-01-01,40.720474,-73.99034,https://www.zillow.com/homedetails/456244726_zpid/,100.0,100.0,96.0,,37093.0,76807.0,24687.0,6453.0,30288.0,19907.0,1,76807.0,0.6669544365622695,2.003943814154511,15.425,5.988191842126547,15887.5
1111 Adee Ave #2,Bronx,NY,10469,3100.0,3.0,3.0,1200.0,1970-01-01,40.869656,-73.855,https://www.zillow.com/homedetails/2093141054_zpid/,69.0,83.0,63.0,,70415.0,75290.0,11838.0,42738.0,4136.0,21288.0,1,75290.0,0.5700936450779658,22.71451612903226,2.5833333333333335,0.5282965277284669,477.5
20-42 Seagirt Blvd #5F,Far Rockaway,NY,11691,2079.0,1.0,1.0,756.0,1970-01-01,40.595894,-73.75653,https://www.zillow.com/homedetails/456243991_zpid/,73.0,73.0,62.0,,54877.0,70797.0,23157.0,31387.0,3048.0,17400.0,2,35398.5,0.634205506837007,26.3958633958634,2.75,0.45461668823004175,-543.5
2463 27th St APT 22,Astoria,NY,11102,2500.0,2.0,1.0,,1970-01-01,40.772446,-73.91922,https://www.zillow.com/homedetails/2093362367_zpid/,96.0,84.0,78.0,,95478.0,27876.0,15836.0,1947.0,4292.0,7198.0,2,13938.0,0.5820175816127346,38.1912,,0.31420850876641737,-122.5
20-55 Seagirt Blvd #4D,Far Rockaway,NY,11691,2171.0,1.0,1.0,696.0,1970-01-01,40.595024,-73.756935,https://www.zillow.com/homedetails/2077365432_zpid/,71.0,71.0,62.0,,54877.0,70797.0,23157.0,31387.0,3048.0,17400.0,2,35398.5,0.634205506837007,25.277291570704744,3.1192528735632186,0.47473440603531536,-451.5
143 Meserole St #PENTHOUSE 2,Brooklyn,NY,11206,3850.0,1.0,2.0,,1970-01-01,40.708244,-73.94382,https://www.zillow.com/homedetails/456243990_zpid/,95.0,100.0,92.0,,49013.0,90903.0,41946.0,20937.0,5475.0,32864.0,3,30301.0,0.5996973575168658,12.730649350649353,,0.9426070634321506,1227.5
30 Starr St APT 3F,Brooklyn,NY,11221,3295.0,2.0,1.0,,1970-01-01,40.700554,-73.927246,https://www.zillow.com/homedetails/2099030989_zpid/,97.0,99.0,92.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,20.310470409711684,,0.5908282653198452,672.5
753 9th Ave APT 2B,New York,NY,10019,7500.0,2.0,1.0,,1970-01-01,40.76408,-73.988914,https://www.zillow.com/homedetails/2122815212_zpid/,100.0,100.0,94.0,,105538.0,43989.0,28545.0,2664.0,8249.0,7710.0,3,14663.0,0.5093600712378046,14.071733333333333,,0.8527734086300669,4877.5
172 E 7th St APT CS,New York,NY,10009,5850.0,3.0,1.0,,1970-01-01,40.725098,-73.98182,https://www.zillow.com/homedetails/2096755314_zpid/,100.0,100.0,99.0,,77551.0,60000.0,34924.0,4577.0,7995.0,14683.0,2,30000.0,0.5777374391666668,13.256581196581196,,0.9052107645291486,3227.5
41 Kosciuszko St APT 112,Brooklyn,NY,11205,3500.0,1.0,1.0,,1970-01-01,40.690605,-73.95355,https://www.zillow.com/homedetails/2098870388_zpid/,94.0,92.0,91.0,,68607.0,50681.0,27765.0,13159.0,3114.0,8107.0,1,50681.0,0.6030953303634965,19.602,,0.6121824303642486,877.5
171 Sackett St APT 3,Brooklyn,NY,11231,4500.0,2.0,1.0,,1970-01-01,40.6847,-74.00069,https://www.zillow.com/homedetails/2102826666_zpid/,96.0,100.0,94.0,,121638.0,40311.0,26885.0,5324.0,2029.0,6437.0,1,40311.0,0.5097160465722141,27.030666666666665,,0.44394021605090517,1877.5
150 N 12th St #2D,Brooklyn,NY,11249,8500.0,3.0,2.0,1355.0,1970-01-01,40.72107,-73.95596,https://www.zillow.com/homedetails/2055428699_zpid/,98.0,96.0,94.0,,105222.0,42421.0,30914.0,2452.0,2264.0,8438.0,1,42421.0,0.4231789656439443,12.379058823529412,6.273062730627307,0.9693790271996351,5877.5
886 Myrtle Ave APT 3A,Brooklyn,NY,11206,3050.0,1.0,1.0,,1970-01-01,40.695526,-73.946686,https://www.zillow.com/homedetails/83045669_zpid/,92.0,98.0,86.0,,49013.0,90903.0,41946.0,20937.0,5475.0,32864.0,3,30301.0,0.5996973575168658,16.06983606557377,,0.7467406606410544,427.5
30 E 29th St APT 12A,New York,NY,10016,15995.0,2.0,2.0,1416.0,1970-01-01,40.744164,-73.98472,https://www.zillow.com/homedetails/338595434_zpid/,100.0,100.0,89.0,,136431.0,56758.0,38463.0,2474.0,10060.0,6791.0,2,28379.0,0.4931369715908414,8.529603000937794,11.29590395480226,1.4068650086857093,13372.5
19672 69th Ave,Fresh Meadows,NY,11365,2800.0,2.0,1.0,800.0,1970-01-01,40.73721,-73.776344,https://www.zillow.com/homedetails/2140158159_zpid/,42.0,71.0,72.0,,73279.0,45439.0,13825.0,4693.0,19683.0,9277.0,1,45439.0,0.667439731145683,26.17107142857143,3.5,0.458521540959893,177.5
104-67 48th Ave FLOOR 2,Corona,NY,11368,3300.0,3.0,1.0,,1970-01-01,40.745884,-73.85694,https://www.zillow.com/homedetails/454796820_zpid/,94.0,84.0,80.0,,62254.0,116469.0,31219.0,10511.0,14504.0,88079.0,1,116469.0,0.3325938313559811,18.864848484848483,,0.6361037041796511,677.5
223 E 59th St APT 2,New York,NY,10022,4295.0,1.0,1.0,,1970-01-01,40.7613,-73.965385,https://www.zillow.com/homedetails/2058905110_zpid/,100.0,100.0,80.0,,156255.0,33303.0,27702.0,450.0,3433.0,3137.0,1,33303.0,0.2883988694192391,36.38067520372526,,0.32984544494576173,1672.5
102 41 188th St,Hollis,NY,11423,3600.0,3.0,1.0,,1970-01-01,40.706944,-73.76909,https://www.zillow.com/homedetails/2134610654_zpid/,70.0,84.0,50.0,,69386.0,30983.0,4339.0,10633.0,8809.0,5014.0,2,15491.5,0.7555839428845378,19.273888888888887,,0.6226039835125241,977.5
695 Knickerbocker Ave APT 2,Brooklyn,NY,11221,5250.0,4.0,2.0,,1970-01-01,40.694668,-73.91058,https://www.zillow.com/homedetails/456242932_zpid/,90.0,100.0,88.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,12.747238095238096,,0.9413803923912556,2627.5
119 W 75th St,New York,NY,10023,4750.0,2.0,1.0,,1970-01-01,40.77998,-73.97824,https://www.zillow.com/homedetails/440053233_zpid/,99.0,100.0,89.0,,136109.0,65891.0,48380.0,3108.0,8331.0,5525.0,1,65891.0,0.435645436555954,28.654526315789475,,0.4187820055984542,2127.5
205 W 102nd St APT 3A,New York,NY,10025,2500.0,1.0,1.0,500.0,1970-01-01,40.798325,-73.968056,https://www.zillow.com/homedetails/456242945_zpid/,98.0,100.0,84.0,,103440.0,96918.0,59414.0,11148.0,9793.0,21794.0,2,48459.0,0.5501822445233782,41.376,5.0,0.2900232018561485,-122.5
16 E 18th St FL 3,New York,NY,10003,13000.0,3.0,3.0,2000.0,1970-01-01,40.737907,-73.99094,https://www.zillow.com/homedetails/2110566722_zpid/,100.0,100.0,91.0,,137533.0,54447.0,38481.0,2823.0,9110.0,4378.0,4,13611.75,0.4633399708744259,10.57946153846154,6.5,1.1342732289705015,10377.5
111 Jane St APT 5,New York,NY,10014,12500.0,2.0,2.0,2009.0,1970-01-01,40.738327,-74.00903,https://www.zillow.com/homedetails/2098156531_zpid/,99.0,100.0,95.0,,136559.0,29815.0,25507.0,539.0,1377.0,2629.0,2,14907.5,0.2578693434826407,10.92472,6.222000995520159,1.0984263212237935,9877.5
215 Franklin St #2A,Brooklyn,NY,11222,3499.0,2.0,1.0,,1970-01-01,40.734367,-73.958595,https://www.zillow.com/homedetails/456242733_zpid/,92.0,89.0,93.0,,110385.0,39669.0,31132.0,1416.0,1595.0,5693.0,3,13223.0,0.3606114304559635,31.54758502429265,,0.38037776871857587,876.5
422 Himrod St APT 2R,Brooklyn,NY,11237,3800.0,2.0,1.0,925.0,1970-01-01,40.70441,-73.91521,https://www.zillow.com/homedetails/2108882383_zpid/,94.0,99.0,87.0,,65908.0,50590.0,16855.0,5681.0,3290.0,29698.0,2,25295.0,0.5275515315794675,17.344210526315788,4.108108108108108,0.6918735206651696,1177.5
660 E 242nd St APT 2C,Bronx,NY,10470,1900.0,1.0,1.0,750.0,1970-01-01,40.90579,-73.85032,https://www.zillow.com/homedetails/456242735_zpid/,82.0,85.0,42.0,,70107.0,16446.0,7214.0,6143.0,559.0,3373.0,1,16446.0,0.6248474457046613,36.898421052631576,2.533333333333333,0.32521716804313405,-722.5
354 Ocean Ave #1P,Brooklyn,NY,11226,2900.0,3.0,1.0,,1970-01-01,40.654167,-73.96216,https://www.zillow.com/homedetails/456242720_zpid/,94.0,100.0,85.0,,66173.0,99776.0,15562.0,65416.0,2883.0,14778.0,2,49888.0,0.5230526818455317,22.818275862068965,,0.5258942468982818,277.5
266 W 25th St #3E,New York,NY,10001,8295.0,3.0,2.0,,1970-01-01,40.74607,-73.99696,https://www.zillow.com/homedetails/2079140997_zpid/,98.0,100.0,95.0,,101409.0,26966.0,16963.0,2117.0,4527.0,4973.0,1,26966.0,0.5359382758983573,12.225316455696202,,0.9815696831642162,5672.5
5 Court Sq W #6A,Long Island City,NY,11101,6500.0,2.0,2.0,903.0,1970-01-01,40.74667,-73.94277,https://www.zillow.com/homedetails/2066781275_zpid/,97.0,100.0,83.0,,98920.0,33789.0,14126.0,4214.0,9413.0,7038.0,1,33789.0,0.688674110446904,15.218461538461538,7.198228128460687,0.7885159725030327,3877.5
508 E 12th St #5C,New York,NY,10009,6750.0,3.0,1.0,,1970-01-01,40.72864,-73.98086,https://www.zillow.com/homedetails/456242719_zpid/,100.0,100.0,99.0,,77551.0,60000.0,34924.0,4577.0,7995.0,14683.0,2,30000.0,0.5777374391666668,11.489037037037036,,1.0444739590720944,4127.5
631 Carroll St APT 2,Brooklyn,NY,11215,4100.0,2.0,1.0,900.0,1970-01-01,40.674965,-73.98024,https://www.zillow.com/homedetails/2103116365_zpid/,98.0,100.0,91.0,,156930.0,73419.0,53594.0,2734.0,6665.0,11968.0,3,24473.0,0.4309373063310318,38.27560975609756,4.555555555555555,0.3135155801949914,1477.5
24 King St APT 12,New York,NY,10014,3750.0,1.0,1.0,,1970-01-01,40.727497,-74.003746,https://www.zillow.com/homedetails/2114183102_zpid/,100.0,100.0,96.0,,136559.0,29815.0,25507.0,539.0,1377.0,2629.0,2,14907.5,0.2578693434826407,36.415733333333336,,0.32952789636713803,1127.5
2203 Clarendon Rd #2D,Brooklyn,NY,11226,1850.0,1.0,1.0,,1970-01-01,40.643078,-73.95627,https://www.zillow.com/homedetails/2063374617_zpid/,93.0,100.0,80.0,,66173.0,99776.0,15562.0,65416.0,2883.0,14778.0,2,49888.0,0.5230526818455317,35.76918918918919,,0.3354842609523522,-772.5
225 Winthrop St #1B,Brooklyn,NY,11225,2695.0,3.0,2.0,,1970-01-01,40.65717,-73.952644,https://www.zillow.com/homedetails/2078413923_zpid/,91.0,100.0,80.0,,68542.0,59465.0,18424.0,33595.0,1630.0,6146.0,2,29732.5,0.5733989724755651,25.433024118738405,,0.47182749263225465,72.5
186 Prospect Park W APT D1,Brooklyn,NY,11215,4050.0,1.0,1.0,,1970-01-01,40.66184,-73.979546,https://www.zillow.com/homedetails/79709032_zpid/,95.0,100.0,88.0,,156930.0,73419.0,53594.0,2734.0,6665.0,11968.0,3,24473.0,0.4309373063310318,38.74814814814815,,0.30969221946090614,1427.5
414 Kosciuszko St #1,Brooklyn,NY,11221,2500.0,1.0,1.0,,1970-01-01,40.69196,-73.93775,https://www.zillow.com/homedetails/456242707_zpid/,89.0,98.0,81.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,26.7692,,0.44827637732916936,-122.5
3214 30th Ave APT 4A,Astoria,NY,11102,3500.0,1.0,1.0,,1970-01-01,40.76652,-73.92058,https://www.zillow.com/homedetails/2105834337_zpid/,100.0,84.0,77.0,,95478.0,27876.0,15836.0,1947.0,4292.0,7198.0,2,13938.0,0.5820175816127346,27.27942857142857,,0.43989191227298435,877.5
401 E 81st St APT 3F,New York,NY,10028,5875.0,2.0,1.0,,1970-01-01,40.773643,-73.95144,https://www.zillow.com/homedetails/2113643249_zpid/,98.0,100.0,85.0,,149789.0,47793.0,41401.0,636.0,3632.0,3612.0,1,47793.0,0.237935609868209,25.496,,0.4706620646375902,3252.5
2773 Bedford Ave,Brooklyn,NY,11210,6000.0,3.0,4.0,2436.0,1970-01-01,40.635067,-73.95296,https://www.zillow.com/homedetails/30670203_zpid/,87.0,100.0,71.0,,77378.0,65854.0,21344.0,35066.0,3177.0,4684.0,2,32927.0,0.6040297116864756,12.896333333333333,2.4630541871921183,0.9304970405024684,3377.5
21-70 Crescent St #C5,Astoria,NY,11105,2300.0,1.0,1.0,,1970-01-01,40.779278,-73.91417,https://www.zillow.com/homedetails/442146806_zpid/,76.0,79.0,71.0,,93200.0,38311.0,27476.0,1233.0,3444.0,8262.0,2,19155.5,0.4300238503710513,40.52173913043478,,0.296137339055794,-322.5
383 Bainbridge St #1,Brooklyn,NY,11233,5775.0,3.0,4.0,2000.0,1970-01-01,40.682312,-73.9214,https://www.zillow.com/homedetails/2080723759_zpid/,90.0,100.0,65.0,,52380.0,85633.0,11760.0,61404.0,1193.0,13657.0,2,42816.5,0.4413364595056027,9.07012987012987,2.8875,1.3230240549828178,3152.5
752 9th Ave APT 3R,New York,NY,10019,4000.0,2.0,1.0,,1970-01-01,40.76376,-73.98834,https://www.zillow.com/homedetails/2093142720_zpid/,100.0,100.0,94.0,,105538.0,43989.0,28545.0,2664.0,8249.0,7710.0,3,14663.0,0.5093600712378046,26.3845,,0.45481248460270235,1377.5
924 Metropolitan Ave APT 503,Brooklyn,NY,11211,5590.0,2.0,1.0,,1970-01-01,40.71434,-73.93811,https://www.zillow.com/homedetails/2111983061_zpid/,92.0,88.0,90.0,,89091.0,65925.0,44335.0,3742.0,4024.0,17433.0,3,21975.0,0.4708603397093001,15.937567084078712,,0.7529380072061151,2967.5
2470 W 1st St APT 6K,Brooklyn,NY,11223,1955.0,1.0,1.0,,1970-01-01,40.588978,-73.97128,https://www.zillow.com/homedetails/2069190603_zpid/,92.0,93.0,69.0,,57281.0,83565.0,44906.0,5013.0,21598.0,11222.0,3,27855.0,0.622791824081772,29.2997442455243,,0.40955988896841883,-667.5
325 Sharrott Ave #1,Staten Island,NY,10309,5500.0,4.0,3.0,3000.0,1970-01-01,40.515335,-74.21179,https://www.zillow.com/homedetails/456242652_zpid/,39.0,55.0,48.0,,107500.0,35832.0,32925.0,225.0,1088.0,2813.0,1,35832.0,0.148550879427106,19.545454545454547,1.8333333333333333,0.6139534883720931,2877.5
223 E 32nd St #BW,New York,NY,10016,2675.0,1.0,1.0,,1970-01-01,40.744164,-73.97783,https://www.zillow.com/homedetails/343051284_zpid/,100.0,100.0,86.0,,136431.0,56758.0,38463.0,2474.0,10060.0,6791.0,2,28379.0,0.4931369715908414,51.0022429906542,,0.23528376981771004,52.5
51 Berriman St #2,Brooklyn,NY,11208,1999.0,1.0,1.0,,1970-01-01,40.67766,-73.88053,https://www.zillow.com/homedetails/449319531_zpid/,82.0,93.0,59.0,,49679.0,107724.0,24195.0,54516.0,7481.0,43708.0,1,107724.0,0.5239979437023663,24.85192596298149,,0.48285996094929445,-623.5
80-15 Grenfell St #E24,Kew Gardens,NY,11415,2275.0,1.0,1.0,,1970-01-01,40.71187,-73.83437,https://www.zillow.com/homedetails/456241926_zpid/,83.0,100.0,48.0,,80360.0,20351.0,11173.0,1621.0,4126.0,4821.0,1,20351.0,0.5950159584554688,35.323076923076925,,0.3397212543554007,-347.5
992 Willoughby Ave APT 3L,Brooklyn,NY,11221,3200.0,2.0,1.0,,1970-01-01,40.698418,-73.929245,https://www.zillow.com/homedetails/2084105096_zpid/,96.0,99.0,89.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,20.9134375,,0.5737937629813368,577.5
601 W 137th St #2C,New York,NY,10031,6200.0,4.0,2.0,,1970-01-01,40.82166,-73.95449,https://www.zillow.com/homedetails/456241901_zpid/,97.0,100.0,70.0,,57180.0,61801.0,16316.0,17443.0,2708.0,31354.0,1,61801.0,0.5913254541695572,9.22258064516129,,1.3011542497376705,3577.5
168 W 130th St #1,New York,NY,10027,3295.0,1.0,2.0,,1970-01-01,40.811707,-73.94559,https://www.zillow.com/homedetails/2077741924_zpid/,98.0,100.0,72.0,,58435.0,65840.0,19727.0,24465.0,5701.0,16970.0,1,65840.0,0.6982234042189985,17.734446130500757,,0.6766492684179002,672.5
365 Rutland Rd #2R,Brooklyn,NY,11225,4999.0,4.0,2.0,1250.0,1970-01-01,40.659737,-73.94872,https://www.zillow.com/homedetails/456081758_zpid/,95.0,99.0,76.0,,68542.0,59465.0,18424.0,33595.0,1630.0,6146.0,2,29732.5,0.5733989724755651,13.71114222844569,3.9992,0.8752006069271395,2376.5
1358 Sheridan Ave #4B,Bronx,NY,10456,1995.0,1.0,3.0,,1970-01-01,40.83752,-73.9131,https://www.zillow.com/homedetails/456241866_zpid/,92.0,100.0,65.0,,31166.0,90314.0,11085.0,43434.0,638.0,52202.0,1,90314.0,0.4195087862362517,15.622055137844612,,0.7681447731502278,-627.5
8719 144th St #1,Jamaica,NY,11435,4000.0,4.0,3.0,,1970-01-01,40.70649,-73.81181,https://www.zillow.com/homedetails/456241639_zpid/,90.0,100.0,51.0,,71346.0,60842.0,10036.0,15241.0,13064.0,18919.0,1,60842.0,0.7672435266736797,17.8365,,0.672777731057102,1377.5
9405 35th Ave APT B1,Jackson Heights,NY,11372,2350.0,1.0,1.0,850.0,1970-01-01,40.75324,-73.87325,https://www.zillow.com/homedetails/2109545498_zpid/,95.0,92.0,81.0,,62910.0,67252.0,28687.0,2437.0,14582.0,35999.0,1,67252.0,0.4831897538228522,26.77021276595745,2.764705882352941,0.4482594182164998,-272.5
183 Kiswick St,Staten Island,NY,10306,3500.0,4.0,3.0,1512.0,1970-01-01,40.57474,-74.096,https://www.zillow.com/homedetails/32332646_zpid/,73.0,64.0,62.0,,88687.0,55805.0,42275.0,2465.0,5757.0,8902.0,1,55805.0,0.3880798562898068,25.339142857142857,2.314814814814815,0.4735756086010351,877.5
91-35 195th St,Hollis,NY,11423,1950.0,1.0,1.0,750.0,1970-01-01,40.71226,-73.76545,https://www.zillow.com/homedetails/441948731_zpid/,81.0,85.0,50.0,,69386.0,30983.0,4339.0,10633.0,8809.0,5014.0,2,15491.5,0.7555839428845378,35.5825641025641,2.6,0.33724382440261724,-672.5
140 Van Cortlandt Ave #7N,Bronx,NY,10463,2250.0,1.0,1.0,,1970-01-01,40.88501,-73.89444,https://www.zillow.com/homedetails/2068720085_zpid/,88.0,97.0,59.0,,63048.0,73256.0,32415.0,11915.0,2740.0,37727.0,1,73256.0,0.5111223030381673,28.02133333333333,,0.42824514655500573,-372.5
6801 Bay Pkwy APT 6A,Brooklyn,NY,11204,1750.0,1.0,1.0,,1970-01-01,40.611374,-73.98336,https://www.zillow.com/homedetails/2081010593_zpid/,95.0,90.0,63.0,,58850.0,82140.0,45476.0,801.0,24962.0,10625.0,1,82140.0,0.5843028418227321,33.628571428571426,,0.356839422259983,-872.5
32-30 93rd St #C14,East Elmhurst,NY,11369,2100.0,1.0,1.0,,1970-01-01,40.75771,-73.87546,https://www.zillow.com/homedetails/456240920_zpid/,93.0,80.0,83.0,,66132.0,31550.0,7895.0,5823.0,5067.0,17659.0,1,31550.0,0.564243485424238,31.49142857142857,,0.38105606967882416,-522.5
312 S 3rd St APT 4,Brooklyn,NY,11211,3000.0,1.0,1.0,,1970-01-01,40.7095,-73.95491,https://www.zillow.com/homedetails/456240915_zpid/,99.0,100.0,93.0,,89091.0,65925.0,44335.0,3742.0,4024.0,17433.0,3,21975.0,0.4708603397093001,29.697,,0.4040812203252854,377.5
163 E 92nd St APT 5,New York,NY,10128,3850.0,2.0,1.0,,1970-01-01,40.783115,-73.95176,https://www.zillow.com/homedetails/2125983094_zpid/,100.0,100.0,73.0,,127919.0,58147.0,42660.0,2985.0,5736.0,7543.0,2,29073.5,0.4325517300501932,33.22571428571428,,0.3611660503912632,1227.5
325 W 52nd St PENTHOUSE E,New York,NY,10019,9700.0,2.0,3.0,1796.0,1970-01-01,40.76411,-73.986275,https://www.zillow.com/homedetails/2057155125_zpid/,99.0,100.0,92.0,,105538.0,43989.0,28545.0,2664.0,8249.0,7710.0,3,14663.0,0.5093600712378046,10.88020618556701,5.400890868596882,1.1029202751615532,7077.5
174 N 6th St #3B,Brooklyn,NY,11211,5400.0,1.0,1.0,,1970-01-01,40.71683,-73.95805,https://www.zillow.com/homedetails/351573423_zpid/,99.0,100.0,93.0,,89091.0,65925.0,44335.0,3742.0,4024.0,17433.0,3,21975.0,0.4708603397093001,16.498333333333335,,0.7273461965855137,2777.5
911 Greene Ave APT 1,Brooklyn,NY,11221,2800.0,1.0,1.0,725.0,1970-01-01,40.690937,-73.93111,https://www.zillow.com/homedetails/456240719_zpid/,90.0,93.0,71.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,23.901071428571427,3.8620689655172415,0.5020695426086697,177.5
269 Saint James Pl #2,Brooklyn,NY,11238,7500.0,4.0,3.0,1800.0,1970-01-01,40.681324,-73.96306,https://www.zillow.com/homedetails/2109299702_zpid/,98.0,100.0,90.0,,114427.0,58597.0,30572.0,17431.0,3658.0,6620.0,1,58597.0,0.6226441240055804,15.256933333333333,4.166666666666667,0.786527655186276,4877.5
756 Myrtle Ave APT 2H,Brooklyn,NY,11206,4800.0,3.0,2.0,1000.0,1970-01-01,40.694862,-73.95246,https://www.zillow.com/homedetails/2133851768_zpid/,95.0,93.0,90.0,,49013.0,90903.0,41946.0,20937.0,5475.0,32864.0,3,30301.0,0.5996973575168658,10.211041666666668,4.8,1.1751984167465774,2177.5
627 Morgan Ave APT 9,Brooklyn,NY,11222,2500.0,1.0,1.0,,1970-01-01,40.725834,-73.939926,https://www.zillow.com/homedetails/456240712_zpid/,81.0,61.0,78.0,,110385.0,39669.0,31132.0,1416.0,1595.0,5693.0,3,13223.0,0.3606114304559635,44.154,,0.2717760565294198,-122.5
